iter	RMSE
0	234.7074043
1	226.5404854
2	218.511031
3	210.7745242
4	203.5952115
5	196.2921258
6	189.4091773
7	182.6634454
8	176.4777895
9	170.4702076
10	164.7589655
11	158.987334
12	153.7959708
13	148.2156234
14	142.8801495
15	138.0481929
16	133.302848
17	128.968946
18	124.7297761
19	120.5871757
20	116.2835088
21	112.3395433
22	108.4373173
23	104.8762152
24	101.680807
25	98.3493996
26	94.99203286
27	91.7078174
28	88.80356367
29	85.95414084
30	83.32851465
31	80.51147192
32	77.9727639
33	75.39826693
34	72.97795386
35	70.62247896
36	68.25142422
37	66.20109108
38	64.13069151
39	62.04686756
40	60.02147394
41	57.95812762
42	55.9672552
43	54.21734087
44	52.39743309
45	50.65342129
46	49.21876518
47	47.55532716
48	45.99665724
49	44.5513398
50	43.12116896
51	41.82382043
52	40.49719013
53	39.31766511
54	38.10607008
55	36.98656287
56	35.90418662
57	34.81266018
58	33.70050087
59	32.67828869
60	31.80109592
61	30.7584046
62	29.77481154
63	28.96233118
64	28.11976158
65	27.25785447
66	26.41455415
67	25.685409
68	24.89487584
69	24.15427636
70	23.42118757
71	22.68718168
72	22.02203473
73	21.37763002
74	20.72789368
75	20.21863304
76	19.70362812
77	19.13264157
78	18.58717562
79	18.07644346
80	17.6126708
81	17.13580022
82	16.65610091
83	16.17679908
84	15.80547218
85	15.38266562
86	14.98142162
87	14.60399924
88	14.22302564
89	13.8657706
90	13.51995633
91	13.1862897
92	12.9219778
93	12.58448745
94	12.28500577
95	11.9897404
96	11.73117004
97	11.49620095
98	11.20516326
99	10.9517539
100	10.72165677
101	10.48692603
102	10.26868235
103	10.0483011
104	9.830012647
105	9.62331627
106	9.431130618
107	9.254610256
108	9.110177906
109	8.927035176
110	8.748800354
111	8.597252837
112	8.437794632
113	8.282059027
114	8.128153357
115	7.986123522
116	7.8465334
117	7.735076186
118	7.624863689
119	7.521330767
120	7.400927226
121	7.294094553
122	7.187659448
123	7.083322436
124	6.9954778
125	6.893092236
126	6.795809847
127	6.701609966
128	6.610030089
129	6.53078956
130	6.459354559
131	6.379211779
132	6.319585994
133	6.259154702
134	6.20258013
135	6.137129767
136	6.069781497
137	6.017815146
138	5.962192732
139	5.907628869
140	5.853168992
141	5.804420699
142	5.759453046
143	5.710570976
144	5.667546859
145	5.631356796
146	5.594188683
147	5.550844951
148	5.522542475
149	5.482911309
150	5.444474515
151	5.408737265
152	5.382156871
153	5.356245598
154	5.331975678
155	5.29725783
156	5.270157774
157	5.235450219
158	5.207363163
159	5.183624657
160	5.159059566
161	5.135889008
162	5.1057598
163	5.081408082
164	5.062348495
165	5.046784509
166	5.026646488
167	5.004419688
168	4.981941977
169	4.955764062
170	4.931862513
171	4.916261495
172	4.89802974
173	4.876279699
174	4.860301323
175	4.840706328
176	4.817539923
177	4.802024333
178	4.782174825
179	4.767460816
180	4.753337485
181	4.735701613
182	4.725007887
183	4.712709447
184	4.702183443
185	4.689371832
186	4.678082294
187	4.664003817
188	4.647862646
189	4.638165552
190	4.627631683
191	4.616751986
192	4.607913134
193	4.597647673
194	4.575676552
195	4.562353891
196	4.552664355
197	4.537756332
198	4.531889994
199	4.522420831
200	4.513114442
201	4.498490574
202	4.485961149
203	4.471509398
204	4.455716045
205	4.446434487
206	4.43937599
207	4.431743422
208	4.420113887
209	4.411549837
210	4.400104468
211	4.386825413
212	4.375929722
213	4.367166932
214	4.362364575
215	4.351235439
216	4.341177133
217	4.331171126
218	4.326006634
219	4.307504707
220	4.300698282
221	4.295065818
222	4.283624885
223	4.273725787
224	4.265320658
225	4.259754699
226	4.244828219
227	4.240531563
228	4.228020295
229	4.221438809
230	4.21639188
231	4.206027895
232	4.19337541
233	4.180775079
234	4.171804876
235	4.1604676
236	4.150922299
237	4.134112433
238	4.123692136
239	4.107861278
240	4.09293032
241	4.089666131
242	4.081768028
243	4.077579436
244	4.070738769
245	4.061895543
246	4.048044296
247	4.032761334
248	4.029123334
249	4.024057084
250	4.012628492
251	4.000880229
252	3.987034493
253	3.97250269
254	3.958283137
255	3.94737067
256	3.933341418
257	3.924996802
258	3.918886269
259	3.909819997
260	3.901116493
261	3.894720547
262	3.890550765
263	3.880306474
264	3.863410849
265	3.853558569
266	3.83837856
267	3.826836479
268	3.816266067
269	3.808082185
270	3.795650938
271	3.786140124
272	3.778086455
273	3.771185085
274	3.766210234
275	3.758148785
276	3.749496952
277	3.740048492
278	3.736768061
279	3.724288825
280	3.71896801
281	3.711216909
282	3.697044713
283	3.690371637
284	3.680118713
285	3.672882473
286	3.661172538
287	3.656491131
288	3.646170936
289	3.636757409
290	3.630648934
291	3.623403126
292	3.618410655
293	3.610324022
294	3.60203331
295	3.597689192
296	3.588669844
297	3.580566041
298	3.573455189
299	3.565597551
300	3.558577003
301	3.5545947
302	3.550284909
303	3.538861392
304	3.526881756
305	3.512261599
306	3.509390308
307	3.500911881
308	3.495771991
309	3.488259611
310	3.484208203
311	3.477935195
312	3.470885165
313	3.463262346
314	3.458966358
315	3.451311002
316	3.443169492
317	3.435355642
318	3.422649611
319	3.416700136
320	3.406056372
321	3.39935287
322	3.395376084
323	3.384750085
324	3.378477442
325	3.37356592
326	3.371280738
327	3.366602623
328	3.362895658
329	3.3572645
330	3.34823818
331	3.339148109
332	3.331618148
333	3.322469088
334	3.317022479
335	3.31136067
336	3.304950477
337	3.302554349
338	3.299345099
339	3.294422193
340	3.291073167
341	3.286800055
342	3.281897218
343	3.278074096
344	3.273345382
345	3.271127141
346	3.263932356
347	3.259873437
348	3.249936833
349	3.24313008
350	3.23287242
351	3.224456416
352	3.219011095
353	3.214100654
354	3.207640843
355	3.202194919
356	3.193950187
357	3.189842782
358	3.184059599
359	3.178755814
360	3.175169281
361	3.168934658
362	3.162810431
363	3.15789698
364	3.155343084
365	3.151105562
366	3.140430939
367	3.133951335
368	3.123022283
369	3.117867544
370	3.109830959
371	3.107361766
372	3.099763297
373	3.09574452
374	3.092138949
375	3.089727584
376	3.084088324
377	3.081538279
378	3.078087858
379	3.074814183
380	3.066241773
381	3.060850346
382	3.055706898
383	3.048826986
384	3.043559728
385	3.039763689
386	3.03192122
387	3.029325518
388	3.023758137
389	3.01738858
390	3.012201326
391	3.009187054
392	3.003480807
393	3.000995871
394	2.994063125
395	2.989608919
396	2.985874788
397	2.981668947
398	2.978030801
399	2.975051828
400	2.972841105
401	2.970718139
402	2.965038353
403	2.961302457
404	2.956135512
405	2.952182309
406	2.949453015
407	2.946320524
408	2.94290253
409	2.935931736
410	2.931662922
411	2.929311061
412	2.926575813
413	2.92480278
414	2.922559923
415	2.917853526
416	2.911077303
417	2.9067317
418	2.902572171
419	2.89895192
420	2.895744546
421	2.892350109
422	2.890454255
423	2.886031927
424	2.883438828
425	2.881398437
426	2.87515515
427	2.870525164
428	2.867375395
429	2.862131525
430	2.857383739
431	2.855441217
432	2.854087406
433	2.851837376
434	2.848039953
435	2.839881673
436	2.836367029
437	2.832662186
438	2.83092852
439	2.823426488
440	2.821549843
441	2.81980565
442	2.815171559
443	2.809949883
444	2.806573845
445	2.803655106
446	2.795265429
447	2.791933397
448	2.788359134
449	2.782841607
450	2.778307935
451	2.772898708
452	2.769592761
453	2.764933338
454	2.762411257
455	2.756439392
456	2.750723256
457	2.747119681
458	2.741092295
459	2.738786259
460	2.735352012
461	2.730859991
462	2.728080358
463	2.723843991
464	2.717075091
465	2.711650231
466	2.710058425
467	2.706420316
468	2.700232842
469	2.696933888
470	2.690986548
471	2.685821443
472	2.682320537
473	2.679457841
474	2.674978467
475	2.667368233
476	2.666200347
477	2.663789055
478	2.661381826
479	2.657940924
480	2.656536662
481	2.654849353
482	2.650184605
483	2.646056428
484	2.641830864
485	2.637333466
486	2.635875958
487	2.631536847
488	2.629607152
489	2.624585161
490	2.621999108
491	2.617116116
492	2.614092198
493	2.611759324
494	2.608665173
495	2.60750287
496	2.603373663
497	2.599421357
498	2.593520681
499	2.590650587
500	2.58371274
501	2.581631155
502	2.577492925
503	2.574499948
504	2.570248284
505	2.566619733
506	2.562365286
507	2.557952563
508	2.55509808
509	2.553770266
510	2.549218086
511	2.546028312
512	2.544172695
513	2.540616866
514	2.535227718
515	2.528971189
516	2.526808669
517	2.524997414
518	2.522263473
519	2.520136455
520	2.517710244
521	2.514810974
522	2.513566286
523	2.509782677
524	2.507225138
525	2.504640223
526	2.499303952
527	2.497266839
528	2.495987731
529	2.493592326
530	2.491583339
531	2.488759851
532	2.487075763
533	2.485856921
534	2.484125735
535	2.48061704
536	2.474286649
537	2.473154878
538	2.469407902
539	2.468609864
540	2.465866178
541	2.464706531
542	2.462462562
543	2.460300271
544	2.454778431
545	2.452209992
546	2.44993886
547	2.445984015
548	2.441455828
549	2.438707187
550	2.434709084
551	2.430138601
552	2.428124667
553	2.424762314
554	2.421185866
555	2.417199584
556	2.413647227
557	2.411435319
558	2.406813051
559	2.403871348
560	2.402298977
561	2.4003763
562	2.393348319
563	2.390262793
564	2.386158156
565	2.382790895
566	2.380812279
567	2.379642834
568	2.378384088
569	2.376331879
570	2.371737368
571	2.370416184
572	2.36621731
573	2.363053319
574	2.359460654
575	2.356698325
576	2.355558132
577	2.354209767
578	2.350621257
579	2.349593493
580	2.347220642
581	2.343807006
582	2.338382902
583	2.33580458
584	2.332987278
585	2.330928116
586	2.327453487
587	2.324509611
588	2.320987738
589	2.31885527
590	2.316595682
591	2.315355584
592	2.309379904
593	2.307130076
594	2.303994305
595	2.30155891
596	2.29929825
597	2.295987898
598	2.294568639
599	2.292707069
600	2.291581799
601	2.286514345
602	2.284245014
603	2.281160494
604	2.279002454
605	2.277304999
606	2.273801832
607	2.272650077
608	2.271615935
609	2.268557905
610	2.265583234
611	2.262118135
612	2.258446192
613	2.254000079
614	2.252724214
615	2.251124405
616	2.248618276
617	2.2457194
618	2.242073408
619	2.240477538
620	2.237227535
621	2.233831709
622	2.23300574
623	2.23218533
624	2.228972476
625	2.225662076
626	2.223269611
627	2.218787458
628	2.21468108
629	2.212686291
630	2.208186954
631	2.205991807
632	2.203796552
633	2.201094812
634	2.19923488
635	2.19688777
636	2.193090134
637	2.192222984
638	2.190914091
639	2.188918401
640	2.186859909
641	2.183444398
642	2.179947314
643	2.176821791
644	2.173400652
645	2.172278414
646	2.170338287
647	2.16604376
648	2.164033921
649	2.162467447
650	2.159039584
651	2.155823202
652	2.153807198
653	2.150456382
654	2.14731528
655	2.143155012
656	2.140926482
657	2.137459063
658	2.136410101
659	2.134040633
660	2.133090655
661	2.127739386
662	2.124355093
663	2.123576659
664	2.12108952
665	2.120246254
666	2.119591476
667	2.118188258
668	2.117707902
669	2.11621435
670	2.114150624
671	2.112318846
672	2.108985157
673	2.108050779
674	2.106625354
675	2.102681117
676	2.100320452
677	2.097389431
678	2.093378798
679	2.092180913
680	2.089202049
681	2.086978536
682	2.081178919
683	2.078749882
684	2.076572501
685	2.074961607
686	2.073287041
687	2.07121173
688	2.069052918
689	2.067874434
690	2.066500134
691	2.065206347
692	2.061929247
693	2.060371575
694	2.056717984
695	2.053745997
696	2.051333368
697	2.049851479
698	2.045532439
699	2.041906988
700	2.039646052
701	2.037331329
702	2.034461583
703	2.03293496
704	2.028456651
705	2.026446249
706	2.023571447
707	2.02064823
708	2.018948163
709	2.015807422
710	2.013423186
711	2.010409516
712	2.007341439
713	2.005321447
714	2.003367203
715	2.000644531
716	1.997920494
717	1.99581851
718	1.995316726
719	1.993020054
720	1.990468899
721	1.990261067
722	1.987871994
723	1.9856443
724	1.983479961
725	1.980213301
726	1.979191925
727	1.976777064
728	1.974580276
729	1.97018043
730	1.968995509
731	1.966662314
732	1.962598887
733	1.961365699
734	1.958321139
735	1.956311324
736	1.95507649
737	1.953239703
738	1.952240575
739	1.949258071
740	1.947031098
741	1.944489301
742	1.94169077
743	1.939861499
744	1.939100968
745	1.938066681
746	1.936864232
747	1.935468592
748	1.933756097
749	1.932817688
750	1.93128366
751	1.929054648
752	1.927582756
753	1.923743496
754	1.921823052
755	1.918324814
756	1.915329492
757	1.913014259
758	1.912299138
759	1.910392363
760	1.90950305
761	1.906239962
762	1.906045586
763	1.904888948
764	1.902372101
765	1.899853646
766	1.89829438
767	1.89628832
768	1.894025195
769	1.892492352
770	1.890358619
771	1.888673837
772	1.88737592
773	1.884255441
774	1.881849108
775	1.879491341
776	1.87691439
777	1.87586439
778	1.875272221
779	1.873838544
780	1.872010048
781	1.869951811
782	1.868045723
783	1.865852494
784	1.863891405
785	1.862577791
786	1.86099704
787	1.858942315
788	1.857715241
789	1.855144277
790	1.853333783
791	1.851580994
792	1.847851082
793	1.847076593
794	1.846531835
795	1.845438964
796	1.844379988
797	1.842944276
798	1.840787976
799	1.840062003
800	1.838001852
801	1.83632214
802	1.833342447
803	1.832459191
804	1.829872741
805	1.82809294
806	1.825475408
807	1.824866858
808	1.824042721
809	1.820223685
810	1.819035618
811	1.817652098
812	1.815339302
813	1.813776572
814	1.812630709
815	1.811657674
816	1.809471916
817	1.806672517
818	1.805784982
819	1.803036858
820	1.801425108
821	1.799176683
822	1.797587478
823	1.795446564
824	1.794199506
825	1.792095786
826	1.78930493
827	1.787972268
828	1.786279644
829	1.784568991
830	1.78366168
831	1.781840234
832	1.77916851
833	1.778707743
834	1.776738578
835	1.774913765
836	1.773155171
837	1.772935673
838	1.771507473
839	1.769968212
840	1.769006837
841	1.767187567
842	1.765986721
843	1.765090365
844	1.764604106
845	1.763242778
846	1.761488083
847	1.760330252
848	1.75832464
849	1.757128366
850	1.756754753
851	1.754870189
852	1.752410581
853	1.752068648
854	1.749695178
855	1.746920826
856	1.744686215
857	1.743294345
858	1.742303529
859	1.742160028
860	1.742034879
861	1.740587783
862	1.740141287
863	1.738635146
864	1.737316313
865	1.734921686
866	1.733817849
867	1.733235531
868	1.730829542
869	1.729759858
870	1.729643231
871	1.729233973
872	1.727146957
873	1.726183294
874	1.722751638
875	1.722181674
876	1.720110334
877	1.718122528
878	1.716277924
879	1.715143055
880	1.712351383
881	1.710810251
882	1.709598983
883	1.709086666
884	1.70789458
885	1.705735416
886	1.703426564
887	1.701612194
888	1.701347725
889	1.699206095
890	1.697045561
891	1.694974685
892	1.693902241
893	1.692166303
894	1.690959429
895	1.689277546
896	1.687249424
897	1.685670108
898	1.683678437
899	1.682333834
900	1.68130162
901	1.679627783
902	1.678397951
903	1.676947415
904	1.674972377
905	1.67246051
906	1.671525129
907	1.669464699
908	1.668477284
909	1.666562763
910	1.664162505
911	1.662689882
912	1.661727245
913	1.659348458
914	1.65745678
915	1.655966476
916	1.654039006
917	1.65202389
918	1.651572488
919	1.649945319
920	1.648891246
921	1.648377021
922	1.647169465
923	1.646102932
924	1.645232833
925	1.644145894
926	1.641612951
927	1.639668572
928	1.638363202
929	1.636750267
930	1.634208476
931	1.633697859
932	1.632827098
933	1.630701104
934	1.629597431
935	1.628412218
936	1.624528429
937	1.624145154
938	1.622894318
939	1.621942706
940	1.621813274
941	1.619516342
942	1.616836644
943	1.614735533
944	1.613980732
945	1.612468315
946	1.611506792
947	1.60999481
948	1.608681441
949	1.607132125
950	1.606189526
951	1.605530085
952	1.603867283
953	1.602797036
954	1.601989155
955	1.601208575
956	1.599339759
957	1.596591042
958	1.594576291
959	1.592629207
960	1.591882917
961	1.589825461
962	1.588637501
963	1.586374235
964	1.584649466
965	1.583681089
966	1.582187163
967	1.58117155
968	1.579637193
969	1.578843445
970	1.577353827
971	1.576714606
972	1.574875946
973	1.574301022
974	1.573439612
975	1.572111895
976	1.570263952
977	1.568506905
978	1.567501341
979	1.566469789
980	1.565798648
981	1.564226741
982	1.562455092
983	1.561736587
984	1.560942618
985	1.559649907
986	1.559552642
987	1.55785375
988	1.556676115
989	1.554560556
990	1.553886356
991	1.551010529
992	1.549682091
993	1.549052122
994	1.548612736
995	1.548075068
996	1.547463537
997	1.546064097
998	1.544429787
999	1.543797973
